movie_id,budget,original_language,popularity,release_date,runtime,runtime_cat,revenue,sw_lang_en,sw_web_presence,sw_has_poster,sw_tagline,keyword_cnt,release_year,release_month,high_release_month,release_day,seasonality,sw_collection,producers_cnt,countries_cnt,lang_US,lang_FR,lang_RU,lang_ES,lang_JA,keywords_cnt,actor0_movies_cnt,actor0_movies_5y_cnt,actor1_movies_cnt,actor1_movies_5y_cnt,actor2_movies_cnt,actor2_movies_5y_cnt,sw_female_actor0,sw_female_actor1,sw_female_actor2,sw_male_actor0,sw_male_actor1,sw_male_actor2,actor0_prev_revenue,actor1_prev_revenue,actor2_prev_revenue,director_movies_cnt,director_movies_5y_cnt,genre_adventure,genre_fantasy,genre_animation,genre_drama,genre_horror,genre_action,genre_comedy,genre_history,genre_western,genre_thriller,genre_crime,genre_documentary,genre_science_fiction,genre_mystery,genre_music,genre_romance,genre_family,genre_war,genre_foreign,depart_Art,depart_Camera,depart_Crew,depart_Custom_Mkup,depart_Directing,depart_Editing,depart_Lighting,depart_Production,depart_Sound,depart_Visual_Effects,depart_Writing,depart_Art_female,depart_Camera_female,depart_Crew_female,depart_Custom_Mkup_female,depart_Directing_female,depart_Editing_female,depart_Lighting_female,depart_Production_female,depart_Sound_female,depart_Visual_Effects_female,depart_Writing_female,overview
11,1000000,en,14.774066,1976-11-21,119,Large,117235147,1,0,1,1,16,1976,11,0,21,31944703,0,1,1,1,0,0,0,0,16,5,4,2,2,0,0,0,1,0,1,0,1,,245066411,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,1,4,4,1,6,3,0,1,0,0,0,0,1,1,0,0,0,0,0,"When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break."
13,15000000,en,20.726578,1999-09-15,122,Large,356296601,1,1,1,1,21,1999,9,1,15,-37667937,0,2,1,1,0,0,0,0,21,14,6,8,3,6,1,0,1,1,1,0,0,189859560,116672912,178051587,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,23,11,5,8,3,11,19,8,3,3,0,4,3,1,0,0,4,0,0,0,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend."
14,53000000,en,13.314233,2005-03-04,118,Medium,95226116,1,0,1,1,8,2005,3,0,4,-7149862,0,4,1,1,0,1,0,0,8,24,8,13,4,16,11,0,1,0,1,0,1,296000000,238207122,170268750,5,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,7,1,0,2,2,0,0,0,0,0,0,1,0,0,0,"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music exec on the way."
23,0,en,7.820787,2012-07-28,116,Medium,100345,1,1,1,1,13,2012,7,0,28,40981593,0,3,1,1,0,0,0,0,13,1,1,1,1,0,0,0,0,0,1,1,1,14347000,14347000,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,6,0,0,0,0,0,0,0,1,0,0,0,"When a group of misfits is hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for."
12,0,en,10.54375,1987-07-10,98,Medium,22642033,1,0,1,1,6,1987,7,0,10,40981593,0,4,1,1,0,0,0,0,6,6,0,2,2,1,1,0,0,0,1,1,1,14717854,,9697739,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"The members of the Lambda Lambda Lambda fraternity travel to Fort Lauderdale for a fraternity conference. They'll have to beat off the attacks of their rival frat, the Alphas, if they want to maintain their self-respect -- and, of course, if they want to get anywhere with the pretty girls!"
15,102000000,en,20.666063,2002-06-20,145,Large,358372926,1,0,1,1,9,2002,6,0,20,74205073,0,7,1,1,0,0,0,0,9,20,2,2,2,1,1,0,0,1,1,1,0,356830601,32287044,,19,3,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,19,15,36,14,4,6,7,21,17,13,4,2,0,1,1,1,0,0,4,0,0,0,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge."
16,500000,sr,1.018477,2010-10-06,97,Medium,198,0,1,1,1,2,2010,10,1,6,-28659422,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,5,3,1,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,"Novica is a mathematics champion in a Belgrade high school. In an attempt to overcome the ‘geek’ status at school, Novica becomes attracted to the world of skinheads by his school friend Relja. Novica is exposed to violence, hooliganism and racism; embracing the ideology and climbing up the ladder in the gang hierarchy."
17,26000000,en,6.336927,2005-08-04,85,Short,57891803,1,0,1,1,4,2005,8,1,4,-33273015,0,3,1,1,0,1,0,0,4,4,4,5,5,20,10,1,0,0,0,1,1,285176741,374218673,407711549,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,14,2,3,0,8,1,0,1,1,0,0,4,1,0,0,4,0,0,0,"After attending the funeral of her grandmother in Dallas, the Lux Atlantic Hotel manager Lisa is waiting for a flight to Miami. Due to the bad weather and consequent flight delay, she meets in the airport bar Jack Rippner, who is also in the waiting list. They sit together in the plane, and Jack reveals that he wants Lisa to change the room in Lux of an important American politician to facilitate a terrorist attempt against him. Otherwise, Lisa's father will be killed by a hit man. Lisa has to decide what to do with the menacing man at her side."
18,0,en,4.183558,2013-12-25,111,Medium,1234254,1,0,1,1,2,2013,12,1,25,32322910,0,4,1,1,0,0,0,0,2,22,7,7,5,5,1,0,1,1,1,0,0,301000000,13204291,31466789,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,2,3,1,1,0,5,6,3,2,1,0,0,0,0,0,0,2,0,0,0,"In 1857, at the height of his fame and fortune, novelist and social critic Charles Dickens meets and falls in love with teenage stage actress Nelly Ternan. As she becomes the focus of his heart and mind, as well as his muse, painful secrecy is the price both must pay."
19,8000000,en,6.496259,2011-02-02,96,Medium,1749457,1,0,1,1,7,2011,2,0,2,-15309317,0,4,3,1,0,0,0,0,7,3,3,3,3,11,5,1,0,1,0,1,0,13204291,4100000,155545279,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"While working a job at an exclusive ski resort to support her Dad, Kim learns to snowboard and is so good at it that she enters a competition with a huge cash prize. She has to dig deep to overcome her fears, but her life gets more complicated through her spoken-for boss, Jonny."
20,32000000,en,11.359659,2005-08-02,87,Short,85167639,1,0,1,1,5,2005,8,1,2,-33273015,0,7,1,1,1,0,0,0,5,9,8,3,2,0,0,0,1,1,1,0,0,217764291,,,2,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,"Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers."
21,80000000,en,12.000579,1998-04-03,130,Large,136159423,1,0,1,1,3,1998,4,0,3,-28405871,0,4,1,1,0,0,0,0,3,11,7,9,3,0,0,0,0,0,1,1,1,315156409,27200316,,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13,7,25,9,5,4,4,23,16,11,3,1,0,0,1,1,0,0,2,0,0,0,"The prospects for continuing life on Earth in the year 2058 are grim. So the Robinsons are launched into space to colonize Alpha Prime, the only other inhabitable planet in the galaxy. But when a stowaway sabotages the mission, the Robinsons find themselves hurtling through uncharted space."
22,4000000,en,7.99229,1982-08-13,95,Medium,36690067,1,0,1,1,9,1982,8,1,13,-33273015,0,2,1,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,,,,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,1,"An idyllic summer turns into a nightmare of unspeakable terror for yet another group of naive counselors. Ignoring Camp Crystal Lake's bloody legacy, one by one they fall victim to the maniacal Jason who stalks them at every turn."
24,0,en,1.323333,2011-09-02,92,Short,17011,1,1,1,1,0,2011,9,1,2,-37667937,0,3,1,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,1,40846082,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,3,2,0,2,0,0,0,0,0,0,0,0,1,0,0,"Kaitlyn, an ER nurse who is tending to a young stabbing victim, is accidentally electrocuted by the defibrillator that is used in an effort to save the woman's life. Almost immediately Kaitlyn starts to experience the victim's memories. She turns to family, friends, and the police, but no one takes her seriously. She decides that she must take it upon herself to try to solve the crime - or risk the terrifying visions ending in her own sanity being at stake. Ultimately Kaitlyn teams up with the detective on the case and weaves her way through the victim's past - to discover not only the brutal truth, but also some very unexpected lessons about life, love, sorrow and forgiveness along the way. (official website)"
48,44000000,en,20.328822,2015-12-25,167,Large,155760117,1,1,1,1,8,2015,12,1,25,32322910,0,3,1,1,0,0,1,0,8,65,14,24,2,13,0,0,0,1,1,1,0,1519557910,1506249360,152368585,9,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,10,4,7,13,2,5,0,11,14,10,1,1,0,1,2,0,0,0,4,0,0,0,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.
49,0,en,8.984386,2017-03-24,94,Medium,653951,1,0,1,0,8,2017,3,0,24,-7149862,0,1,1,1,0,0,0,0,8,35,11,0,0,0,0,0,0,0,1,0,1,653428261,,,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,6,2,1,0,4,7,0,2,0,0,1,0,0,0,0,1,0,0,0,"Middle-aged and divorced, Wilson finds himself lonely, smug and obsessed with his past."
68,0,zh,6.303552,2013-10-04,133,Large,154120,0,0,1,0,5,2013,10,1,4,-28659422,0,3,3,0,0,0,0,0,5,2,2,2,1,0,0,0,0,1,1,0,0,1332231,34786960,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Four independent stories set in modern China about random acts of violence.
25,0,en,7.434577,2006-09-09,87,Short,4947717,1,1,1,1,3,2006,9,1,9,-37667937,0,2,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,A genetic engineering experiment gone horribly awry turns a large flock of docile sheep into unrelenting killing machines in this rural horror comedy directed by Jonathan King and featuring special effects designed by Weta Workshop.
26,0,en,1.252367,1992-10-23,95,Medium,8403433,1,0,1,1,0,1992,10,1,23,-28659422,0,4,2,1,0,0,0,0,0,1,1,1,1,7,2,0,1,0,1,0,0,48878502,3790493,18564613,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,3,0,1,1,0,4,1,0,2,0,0,0,0,0,1,0,1,0,0,0,"In 1957, Evan Rendell flees after his father is lynched for killing multiple patients in his effort to find a replacement heart for his ailing wife. After 35 years, Evan escapes from a mental institution and returns to town for revenge, killing off residents one by one. When Jennifer and her friends break into the Rendell house out of morbid curiosity, Evan notices Jennifer has a heart condition similar to his mother and decides to make her his final victim."
27,10000000,en,4.305735,1997-09-08,110,Medium,13835130,1,0,1,1,4,1997,9,1,8,-37667937,0,4,1,1,0,0,0,0,4,10,1,2,1,3,1,0,0,0,1,1,1,126297830,,2154540,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,1,0,1,2,1,0,7,1,0,1,1,0,0,1,1,1,0,4,0,0,0,An employee of a corporation with a lucrative secret process is tempted to betray it. But there's more to it than that.
28,11000000,en,10.841891,2013-09-07,93,Short,7847000,1,0,1,1,3,2013,9,1,7,-37667937,0,3,2,1,0,0,0,0,3,10,3,8,6,11,6,0,1,0,1,0,1,933959197,91354215,403170142,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,1,0,6,1,0,3,1,0,0,0,0,0,0,1,0,0,0,"Wallace, a medical school dropout, has been repeatedly burned by bad relationships. So while everyone around him, including his roommate Allan, seems to be finding the perfect partner, Wallace decides to put his love life on hold.  It is then that he meets Chantry, an animator who lives with her long term boyfriend Ben.  Wallace and Chantry form an instant connection, striking up a close friendship. But there is no denying the chemistry between them, leading the pair to wonder:  what if the love of your life is actually your best friend?"
29,6000000,en,6.759181,1986-08-08,84,Short,5849647,1,0,1,1,6,1986,8,1,8,-33273015,0,4,1,1,0,0,0,1,6,2,2,1,0,1,0,0,0,0,1,1,1,37803872,90614445,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons."
30,45000000,en,7.81862,2002-04-07,89,Short,94935764,1,0,1,1,4,2002,4,0,7,-28405871,0,1,1,1,0,0,0,0,4,16,9,28,11,2,1,0,0,1,1,1,0,84431625,920100000,52322400,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,"A rush-hour fender-bender on New York City's crowded FDR Drive, under most circumstances, wouldn't set off a chain reaction that could decimate two people's lives. But on this day, at this time, a minor collision will turn two complete strangers into vicious adversaries. Their means of destroying each other might be different, but their goals, ultimately, will be the same: Each will systematically try to dismantle the other's life in a reckless effort to reclaim something he has lost."
31,13000000,fr,16.086919,2011-11-02,112,Medium,426480871,0,0,1,1,7,2011,11,0,2,31944703,0,8,1,1,1,0,0,0,7,4,2,1,1,1,1,0,0,1,0,1,0,23550000,,151119219,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2,3,3,2,1,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.
32,0,fr,5.69586,2005-05-02,117,Medium,36000000,0,1,1,0,15,2005,5,0,2,21757736,0,15,5,0,1,0,0,0,15,1,0,6,2,0,0,0,1,1,1,0,0,,152500343,,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,1,1,2,0,9,1,0,1,0,0,0,0,0,1,0,1,0,0,0,A married couple is terrorized by a series of videotapes planted on their front porch.
33,90000000,en,13.412445,2015-10-21,106,Medium,146936910,1,1,1,1,4,2015,10,1,21,-28659422,0,7,1,1,0,0,0,0,4,17,5,1,1,27,6,0,1,0,1,0,1,1506249360,9318,1021103568,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,7,13,4,10,0,7,8,21,4,1,0,0,1,1,0,0,3,0,0,0,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family."
34,0,en,8.254856,2014-10-02,125,Large,7171,1,0,1,1,4,2014,10,1,2,-28659422,0,3,5,1,1,0,0,1,4,0,0,2,2,0,0,0,0,0,1,0,0,,81010,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,9,2,0,18,0,0,0,0,3,0,0,0,0,0,2,"Taking all that was great from the first installment, ABCs OF DEATH 2 aims to be a wilder, leaner, faster paced and even more entertaining anthology this time around, with a new crop of award-winning, visionary filmmakers from around the globe."
37,0,en,2.100499,2000-01-28,105,Medium,151559,1,0,1,1,14,2000,1,0,28,-50746591,0,3,3,1,0,0,0,0,14,1,1,0,0,0,0,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"A waitress falls for a handsome customer who seduces her, her two sisters, her brother, and her brother's girlfriend."
39,0,en,0.32926,2013-09-13,90,Short,92100,1,1,1,1,0,2013,9,1,13,-37667937,0,,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"A gritty, international tale of four separate stories woven together by a common theme: the Rapture."
44,6000000,en,9.383088,2014-09-05,92,Short,1020921,1,0,1,1,5,2014,9,1,5,-37667937,0,3,1,1,0,0,0,0,5,50,12,22,3,9,0,0,1,1,1,0,0,1004558444,266728738,60000000,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,5,1,0,2,0,0,0,0,0,0,0,1,0,0,0,A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.
46,3906840,it,2.382068,2009-10-09,95,Medium,4300000,0,0,1,1,11,2009,10,1,9,-28659422,0,2,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,1,0,1,0,,,,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,A chambermaid and a former cop meet at a speed dating event and a romance develops. But during a romantic getaway things suddenly take a turn for the worse when her mysterious past is revealed.
35,140000000,en,9.718111,2007-08-08,91,Short,258022233,1,0,1,1,1,2007,8,1,8,-33273015,0,1,1,1,1,0,0,1,1,5,0,17,2,4,3,0,0,0,1,1,0,347325802,347325802,8690429,5,3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,1,1,3,0,5,1,0,2,1,0,0,1,0,0,0,0,0,0,0,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother."
36,30000000,en,8.234382,2012-04-16,94,Medium,40346186,1,1,1,1,1,2012,4,0,16,-28405871,0,5,1,1,0,1,0,0,1,21,10,9,1,21,3,0,0,0,1,1,1,274470394,44196684,41098065,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,2,2,3,0,9,13,0,1,0,0,0,2,0,0,0,0,1,0,0,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police."
38,50000000,en,13.676444,1995-03-10,127,Large,189859560,1,0,1,1,8,1995,3,0,10,-7149862,0,4,1,1,1,0,0,0,8,13,2,4,3,9,4,0,1,0,1,0,1,106260000,176997168,390493908,5,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,4,1,0,2,0,0,0,0,0,1,0,1,0,0,0,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House."
40,3800000,en,3.055936,1965-04-07,123,Large,14873,1,0,1,0,5,1965,4,0,7,-28405871,0,2,1,1,1,0,1,0,5,5,2,2,2,0,0,0,0,0,1,1,1,146900000,28900000,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,3,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,"During the last winter of the Civil War, cavalry officer Amos Dundee leads a contentious troop of Army regulars, Confederate prisoners and scouts on an expedition into Mexico to destroy a band of Apaches who have been raiding U.S. bases in Texas."
